Option,Häufigkeit,Prozent
"Ich bevorzuge persönlichen Kontakt (z.B. Hotline, E-Mail)",12,32.4
Ich finde Service-Chatbots zu kompliziert oder unpraktisch,1,2.7
"Ich traue Service-Chatbots nicht zu, mir wirklich helfen zu können",2,5.4
Ich habe bisher keine Service-Chatbots auf Webseiten gesehen,8,21.6
Datenschutzbedenken oder mangelndes Vertrauen,2,5.4
Ich habe negative Erfahrungen selber gemacht,0,0.0
Ich habe negative Erfahrungen von anderen gehört,0,0.0
"Ich wusste nicht, dass Service-Chatbots hilfreich sein können",9,24.3
Andere,3,8.1
