Option,Häufigkeit,Prozent
Online-Shops / E-Commerce,59,32.6
"Kundenservice-Portale (Telekommunikation, Banken, Versicherungen)",65,35.9
"Buchungsseiten (Reisen, Hotels, Tickets)",35,19.3
Webseiten von Behörden oder öffentlichen Einrichtungen,19,10.5
Andere,3,1.7
